queue_rank,candidate_id,bindingdb_monomer_id,standardized_smiles,standardized_inchikey,generic_murcko_scaffold_smiles,pass_1_status,pass_2_status,final_membership_decision,quarantine_reasons
194,BDB-50628408,50628408,Nc1nc(NCCc2ccc(O)cc2)nc2c1nc(-c1cccs1)n2[C@@H]1SC[C@@H](O)[C@H]1O,XRKKJGGYJHRJNY-OWDMVUQNSA-N,C1CCC(CCCC2CCC3CC(C4CCCC4)C(C4CCCC4)C3C2)CC1,metadata_pass_fulltext_ready,quarantine,quarantine,unresolved_molecule_identity|unresolved_relation|unresolved_stereochemistry|unresolved_units|unresolved_wild_type_status
195,BDB-50341193,50341193,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)C3CCN(Cc4cccc(C(F)(F)F)c4)CC3)sc12,OMVHCFMRXIFNMI-UHFFFAOYSA-N,CC(CC1CC2CCCCC2C1)C1CCC(CC2CCCCC2)CC1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
196,BDB-50360193,50360193,O=C(Nc1nc(=O)[nH]c2nc(-c3ccco3)nn12)c1ccccc1,HZRPPZVAFJLQIQ-UHFFFAOYSA-N,CC1CC(CC(C)C2CCCCC2)C2CC(C3CCCC3)CC2C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
197,BDB-50257025,50257025,O=c1n(-c2ccccc2)nc2c(NC3CCCCC3)nc3ncccc3n12,JIBITRQNBXVGNX-UHFFFAOYSA-N,CC1C(C2CCCCC2)CC2C(CC3CCCCC3)CC3CCCCC3C12,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
198,BDB-50563134,50563134,COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(O)(CF)CC3)nc12,MVLSLPSPDRUARX-UHFFFAOYSA-N,CC(CC1CC2CCCC(C3CCCCC3)C2C1)C1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
199,BDB-50083916,50083916,O=c1c(-c2ccc(O)cc2)nnc2[nH]c3ccccc3n12,CQXMRLNWXNWPSV-UHFFFAOYSA-N,CC1C(C2CCCCC2)CCC2CC3CCCCC3C21,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
200,BDB-50237093,50237093,Cc1cc(C)n(-c2cc(NC(=O)COc3cccc(CCN4CCOCC4)c3)nc(-c3ccc(C)o3)n2)n1,FLJKEYOWOUCFNJ-UHFFFAOYSA-N,CC(CCC1CCCC(CCC2CCCCC2)C1)CC1CC(C2CCCC2)CC(C2CCCC2)C1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
201,BDB-50141455,50141455,Nc1nc(NC(=O)/C=C/c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,DDCUXRNACUVAKE-HGBQRMJASA-N,CC(CC1CCC2CCC(C3CCCC3)C2C1)CCC1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
202,BDB-50360209,50360209,Nc1nc(N2CCN(C(=O)Cc3ccccc3)CC2)nc2nc(-c3ccco3)nn12,CKNQBBJKRSXMPU-UHFFFAOYSA-N,CC(CC1CCCCC1)C1CCC(C2CCC3CC(C4CCCC4)CC3C2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
203,BDB-50018002,50018002,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)ON4C(=O)CCC4=O)cc3)nc2n(CCC)c1=O,NPCYZVFLXAHEOX-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CCC(C)CC4C(C)CCC4C)CC3)CC2C1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
204,BDB-35803,35803,COc1cc(C(=O)NCc2ccccn2)nc(N)n1,HKDRLLSZDIGQIK-UHFFFAOYSA-N,CC(CCC1CCCCC1)C1CCCCC1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
205,BDB-50047995,50047995,CCOC(=O)c1cnc(NC2CC2)n2nc(-c3ccco3)nc12,MBXDLCHXRJJXPM-UHFFFAOYSA-N,C1CCC(C2CC3CCCC(CC4CC4)C3C2)C1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
206,BDB-50548094,50548094,COC(=O)[C@@H]1CCCN1c1nc2nn(C)cc2c2nc(-c3ccco3)nn12,CCHJCVDZPYFXQY-NSHDSACASA-N,C1CCC(C2CC3C4CCCC4CC(C4CCCC4)C3C2)C1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
