record_id,molecule_name,external_identifier,canonical_smiles,source_cohort,source_type,source_id,source_url,source_snapshot_id,source_published_at,source_retrieved_at,prior_project_visibility,source_independence_basis,priority_category,evidence_status,ingested_at,standardized_smiles,standardized_inchikey,murcko_scaffold_smiles,generic_murcko_scaffold_smiles,historical_independence_eligible,screening_reasons
GTPDB-390,MRE 2029F20,GtoPdb:390,CCCn1c2nc([nH]c2c(=O)n(c1=O)CCC)c1cc(nn1C)OCC(=O)Nc1ccc2c(c1)OCO2,GtoPdb 2026.2 human A2A,independent_curated_database,390,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=390,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCCn1c(=O)c2[nH]c(-c3cc(OCC(=O)Nc4ccc5c(c4)OCO5)nn3C)nc2n(CCC)c1=O,DBWQRFKXNBVPGA-UHFFFAOYSA-N,O=C(COc1cc(-c2nc3[nH]c(=O)[nH]c(=O)c3[nH]2)[nH]n1)Nc1ccc2c(c1)OCO2,CC(CCC1CCC(C2CC3CC(C)CC(C)C3C2)C1)CC1CCC2CCCC2C1,False,structure_present_in_prefreeze_source_pool
GTPDB-403,SCH 58261,GtoPdb:403,Nc1nc2n(CCc3ccccc3)ncc2c2n1nc(n2)c1ccco1,GtoPdb 2026.2 human A2A,independent_curated_database,403,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=403,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,UTLPKQYUXOEJIL-UHFFFAOYSA-N,c1ccc(CCn2ncc3c2ncn2nc(-c4ccco4)nc32)cc1,C1CCC(CCC2CCC3C2CCC2CC(C4CCCC4)CC23)CC1,False,structure_present_in_prefreeze_source_pool;historical_inchikey_overlap;historical_standardized_structure_overlap;historical_generic_murcko_scaffold_overlap
GTPDB-404,xanthine amine congener,GtoPdb:404,CCCn1c2nc([nH]c2c(=O)n(c1=O)CCC)c1ccc(cc1)OCC(=O)NCCN,GtoPdb 2026.2 human A2A,independent_curated_database,404,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=404,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,FIQGIOAELHTLHM-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]c(-c3ccccc3)nc2[nH]1,CC1CC(C)C2CC(C3CCCCC3)CC2C1,False,structure_present_in_prefreeze_source_pool
GTPDB-405,ZM-241385,GtoPdb:405,Oc1ccc(cc1)CCNc1nc(N)n2c(n1)nc(n2)c1ccco1,GtoPdb 2026.2 human A2A,independent_curated_database,405,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=405,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,PWTBZOIUWZOPFT-UHFFFAOYSA-N,c1ccc(CCNc2ncn3nc(-c4ccco4)nc3n2)cc1,C1CCC(CCCC2CCC3CC(C4CCCC4)CC3C2)CC1,False,structure_present_in_prefreeze_source_pool
GTPDB-407,caffeine,GtoPdb:407,Cn1cnc2c1c(=O)n(C)c(=O)n2C,GtoPdb 2026.2 human A2A,independent_curated_database,407,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=407,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,CC1CC(C)C2CCCC2C1,False,structure_present_in_prefreeze_source_pool
GTPDB-413,theophylline,GtoPdb:413,Cn1c(=O)n(C)c2c(c1=O)[nH]cn2,GtoPdb 2026.2 human A2A,independent_curated_database,413,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=413,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,Cn1c(=O)c2[nH]cnc2n(C)c1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,CC1CC(C)C2CCCC2C1,False,structure_present_in_prefreeze_source_pool
GTPDB-414,(R)-PIA,GtoPdb:414,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N[C@@H](Cc1ccccc1)C,GtoPdb 2026.2 human A2A,independent_curated_database,414,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=414,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,C[C@H](Cc1ccccc1)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,RIRGCFBBHQEQQH-SSFGXONLSA-N,c1ccc(CCNc2ncnc3c2ncn3[C@H]2CCCO2)cc1,C1CCC(CCCC2CCCC3C(C4CCCC4)CCC23)CC1,False,historical_generic_murcko_scaffold_overlap
GTPDB-415,(S)-PIA,GtoPdb:415,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N[C@H](Cc1ccccc1)C,GtoPdb 2026.2 human A2A,independent_curated_database,415,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=415,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,C[C@@H](Cc1ccccc1)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,RIRGCFBBHQEQQH-KFAHYOAQSA-N,c1ccc(CCNc2ncnc3c2ncn3[C@H]2CCCO2)cc1,C1CCC(CCCC2CCCC3C(C4CCCC4)CCC23)CC1,False,historical_generic_murcko_scaffold_overlap
GTPDB-416,AB-MECA,GtoPdb:416,CNC(=O)[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NCc1ccc(cc1)N,GtoPdb 2026.2 human A2A,independent_curated_database,416,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=416,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4ccc(N)cc4)ncnc32)[C@H](O)[C@@H]1O,LDYMCRRFCMRFKB-MOROJQBDSA-N,c1ccc(CNc2ncnc3c2ncn3[C@H]2CCCO2)cc1,C1CCC(CCC2CCCC3C(C4CCCC4)CCC23)CC1,False,historical_generic_murcko_scaffold_overlap
GTPDB-417,APNEA,GtoPdb:417,OCC1OC(C(C1O)O)n1cnc2c1ncnc2NCCc1ccc(cc1)N,GtoPdb 2026.2 human A2A,independent_curated_database,417,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=417,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,Nc1ccc(CCNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1,XTPOZVLRZZIEBW-UHFFFAOYSA-N,c1ccc(CCNc2ncnc3c2ncn3C2CCCO2)cc1,C1CCC(CCCC2CCCC3C(C4CCCC4)CCC23)CC1,False,historical_generic_murcko_scaffold_overlap
