record_id,molecule_name,external_identifier,canonical_smiles,source_cohort,source_type,source_id,source_url,source_snapshot_id,source_published_at,source_retrieved_at,prior_project_visibility,source_independence_basis,priority_category,evidence_status,ingested_at,standardized_smiles,standardized_inchikey,murcko_scaffold_smiles,generic_murcko_scaffold_smiles,historical_independence_eligible,screening_reasons
GTPDB-409,flavone,GtoPdb:409,O=c1cc(oc2c1cccc2)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,409,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=409,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,O=c1cc(-c2ccccc2)oc2ccccc12,VHBFFQKBGNRLFZ-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccccc12,CC1CC(C2CCCCC2)CC2CCCCC12,True,
GTPDB-410,galangin,GtoPdb:410,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,410,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=410,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,VCCRNZQBSJXYJD-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccccc12,CC1CC(C2CCCCC2)CC2CCCCC12,True,
GTPDB-411,morin,GtoPdb:411,Oc1ccc(c(c1)O)c1oc2cc(O)cc(c2c(=O)c1O)O,GtoPdb 2026.2 human A2A,independent_curated_database,411,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=411,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,YXOLAZRVSSWPPT-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccccc12,CC1CC(C2CCCCC2)CC2CCCCC12,True,
GTPDB-412,sakuranetin,GtoPdb:412,COc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc(cc1)O,GtoPdb 2026.2 human A2A,independent_curated_database,412,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=412,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,COc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1)CC2=O,DJOJDHGQRNZXQQ-AWEZNQCLSA-N,O=C1C[C@@H](c2ccccc2)Oc2ccccc21,CC1CC(C2CCCCC2)CC2CCCCC12,True,
GTPDB-419,CV-1674,GtoPdb:419,OCC1OC(C(C1O)O)n1cnc2c1nc(nc2N)c1ccc(cc1)OC,GtoPdb 2026.2 human A2A,independent_curated_database,419,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=419,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,COc1ccc(-c2nc(N)c3ncn(C4OC(CO)C(O)C4O)c3n2)cc1,VKSRAKNPXOTFAX-UHFFFAOYSA-N,c1ccc(-c2ncc3ncn(C4CCCO4)c3n2)cc1,C1CCC(C2CCC3CCC(C4CCCC4)C3C2)CC1,True,
GTPDB-420,CV-1808,GtoPdb:420,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(Nc1ccccc1)nc2N,GtoPdb 2026.2 human A2A,independent_curated_database,420,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=420,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,Nc1nc(Nc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,SCNILGOVBBRMBK-SDBHATRESA-N,c1ccc(Nc2ncc3ncn([C@H]4CCCO4)c3n2)cc1,C1CCC(CC2CCC3CCC(C4CCCC4)C3C2)CC1,True,
GTPDB-428,KF 17837S,GtoPdb:428,CCCn1c(=O)n(CCC)c(=O)c2c1nc(n2C)c1ccc(c(c1)OC)OC,GtoPdb 2026.2 human A2A,independent_curated_database,428,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=428,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCCn1c(=O)c2c(nc(-c3ccc(OC)c(OC)c3)n2C)n(CCC)c1=O,FSUNYKAEJIVAHY-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]c(-c3ccccc3)nc2[nH]1,CC1CC(C)C2CC(C3CCCCC3)CC2C1,True,
GTPDB-429,MRS1088,GtoPdb:429,Clc1ccc2c(c1)c(=O)c(c(o2)c1ccccc1)Cl,GtoPdb 2026.2 human A2A,independent_curated_database,429,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=429,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,O=c1c(Cl)c(-c2ccccc2)oc2ccc(Cl)cc12,PTNKLWUWHUGKTA-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccccc12,CC1CC(C2CCCCC2)CC2CCCCC12,True,
GTPDB-433,visnagin,GtoPdb:433,COc1c2c(=O)cc(oc2cc2c1cco2)C,GtoPdb 2026.2 human A2A,independent_curated_database,433,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=433,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,COc1c2ccoc2cc2oc(C)cc(=O)c12,NZVQLVGOZRELTG-UHFFFAOYSA-N,O=c1ccoc2cc3occc3cc12,CC1CCCC2CC3CCCC3CC12,True,
GTPDB-455,[<sup>3</sup>H]ZM 241385,GtoPdb:455,c1([3H])cc(CCNc2nc(N)n3c(n2)nc(n3)c2ccco2)ccc1O,GtoPdb 2026.2 human A2A,independent_curated_database,455,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=455,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,[3H]c1cc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)ccc1O,PWTBZOIUWZOPFT-XHHURNKPSA-N,c1ccc(CCNc2ncn3nc(-c4ccco4)nc3n2)cc1,C1CCC(CCCC2CCC3CC(C4CCCC4)CC3C2)CC1,True,
GTPDB-459,MRE 3008F20,GtoPdb:459,CCCn1cc2c(n1)nc(n1c2nc(n1)c1ccco1)NC(=O)Nc1ccc(cc1)OC,GtoPdb 2026.2 human A2A,independent_curated_database,459,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=459,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,CJRNHKSLHHWUAB-UHFFFAOYSA-N,O=C(Nc1ccccc1)Nc1nc2n[nH]cc2c2nc(-c3ccco3)nn12,CC(CC1CCCCC1)CC1CC2CCCC2C2CC(C3CCCC3)CC12,True,
GTPDB-470,MRS1191,GtoPdb:470,CCOC(=O)C1=C(C)NC(=C(C1C#Cc1ccccc1)C(=O)OCc1ccccc1)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,470,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=470,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCOC(=O)C1=C(C)NC(c2ccccc2)=C(C(=O)OCc2ccccc2)C1C#Cc1ccccc1,SNVFDPHQAOXWJZ-UHFFFAOYSA-N,O=C(OCc1ccccc1)C1=C(c2ccccc2)NC=CC1C#Cc1ccccc1,CC(CCC1CCCCC1)C1C(CCC2CCCCC2)CCCC1C1CCCCC1,True,
GTPDB-474,MRS1523,GtoPdb:474,CCCOC(=O)c1c(CCC)c(C(=O)SCC)c(nc1c1ccccc1)CC,GtoPdb 2026.2 human A2A,independent_curated_database,474,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=474,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCCOC(=O)c1c(-c2ccccc2)nc(CC)c(C(=O)SCC)c1CCC,UUSHFEVEROROSP-UHFFFAOYSA-N,c1ccc(-c2ccccn2)cc1,C1CCC(C2CCCCC2)CC1,True,
