candidate_id,bindingdb_monomer_id,standardized_smiles,standardized_inchikey,generic_murcko_scaffold_smiles,doi,pmid,sealed_exact_ki_measurement_count,prior_exact_structure_overlap,model_selection_generic_scaffold_overlap,primary_evidence_review_status,intake_status,quarantine_reasons
BDB-106381,106381,O=C(Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F)c1ccc([N+](=O)[O-])cc1,WEAIIEYARJCNTR-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CCCCC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-106382,106382,O=C(Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F)c1ccc(I)cc1,VJMCQWDYPRJURY-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CCCCC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-106384,106384,Nc1ccc(C(=O)Nc2nc(-c3ccccc3)nc3c2nnn3Cc2ccccc2F)cc1,AOOBGFNNMUSTOH-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CCCCC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-110137,110137,Cn1c(=O)c2c(nc(/C=C/c3cccc(Br)c3)n2C)n(C)c1=O,NIUGYYNSDFVJFJ-BQYQJAHWSA-N,CC1CC(C)C2CC(CCC3CCCCC3)CC2C1,,34695776,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-110150,110150,CCn1c(=O)c2c(nc(/C=C/c3cccc(C(F)(F)F)c3)n2C)n(CC)c1=O,NUIFAKZQWNPAII-MDZDMXLPSA-N,CC1CC(C)C2CC(CCC3CCCCC3)CC2C1,,34695776,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-14390,14390,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,BNRNXUUZRGQAQC-UHFFFAOYSA-N,CC1CC(C2CCCC(C(C)(C)C3CCCCC3)C2)CC2CCCC12,10.1021/jm300280e,22563707,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-16173,16173,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,XSDQTOBWRPYKKA-UHFFFAOYSA-N,C1CCCCC1,10.1021/jm970084v,9258366,3,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175364,175364,COC(=O)COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,NEDDQPYELRWGIF-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCCC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175365,175365,COC(=O)COc1cccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)c1,GNBBWIKMBBOXTN-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCCC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175366,175366,COC(=O)COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OC,MTOFXPUIJBFYDT-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCCC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175367,175367,COC(=O)COc1cc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OC,GFRZDWZANLHYRS-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCCC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175368,175368,CN(C)CCNC(=O)COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,KMOXRBQNLUFHEG-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCCC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175369,175369,CCN(CC)CCNC(=O)COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,HTRTYJCHNCFLGF-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCCC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175370,175370,Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCCC4)cc3)nc2n(C)c1=O,NFIYOVPEXZSLQY-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CCC(C)C4CCCC4)CC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175372,175372,Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCCCCC4)cc3)nc2n(C)c1=O,HMKKMCPALDTYII-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CCC(C)C4CCCCCC4)CC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175375,175375,CN1C(=O)C2NC(c3ccc(OCC(=O)n4ccnc4)cc3)=NC2N(C)C1=O,AZXUQDNXAPWHRV-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CCC(C)C4CCCC4)CC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175376,175376,COc1ccc(CCNC(=O)COc2ccc(C3=NC4C(N3)C(=O)N(C)C(=O)N4C)cc2)cc1OC,NUPAVXPUUAMNMT-UHFFFAOYSA-N,CC(CCCC1CCCCC1)CCC1CCC(C2CC3CC(C)CC(C)C3C2)CC1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175377,175377,CN(C)CCNC(=O)COc1cccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)c1,YKXVIXWCJKBOMG-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCCC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175378,175378,CCN(CC)CCNC(=O)COc1cccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)c1,SBNHYDQELDLRRV-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCCC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175379,175379,Cn1c(=O)c2[nH]c(-c3cccc(OCC(=O)N4CCCC4)c3)nc2n(C)c1=O,YVKFALMAWNALPA-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCC4)C3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175380,175380,Cn1c(=O)c2[nH]c(-c3cccc(OCC(=O)N4CCCCC4)c3)nc2n(C)c1=O,DGKIMYPQSMUZKA-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCCC4)C3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175381,175381,Cn1c(=O)c2[nH]c(-c3cccc(OCC(=O)N4CCCCCC4)c3)nc2n(C)c1=O,JTMOPZQFIWCLMN-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCCCC4)C3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175382,175382,Cn1c(=O)c2[nH]c(-c3cccc(OCC(=O)N4CCOCC4)c3)nc2n(C)c1=O,GGUBALWRKUTXNZ-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCCC4)C3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175383,175383,CN1CCN(C(=O)COc2cccc(-c3nc4c([nH]3)c(=O)n(C)c(=O)n4C)c2)CC1,HMJZPPMWAXVKOW-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCCC4)C3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175384,175384,Cn1c(=O)c2[nH]c(-c3cccc(OCC(=O)n4ccnc4)c3)nc2n(C)c1=O,ZNAQFRZHTVLHSP-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCC4)C3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175385,175385,COc1ccc(CCNC(=O)COc2cccc(-c3nc4c([nH]3)c(=O)n(C)c(=O)n4C)c2)cc1OC,CQMZWYQNQJMCCO-UHFFFAOYSA-N,CC(CCCC1CCCCC1)CCC1CCCC(C2CC3CC(C)CC(C)C3C2)C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175386,175386,COc1cc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)NCCN(C)C,IFAPAINJNCAIEX-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCCC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175387,175387,CCN(CC)CCNC(=O)COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OC,POHMJKWKQLDWJH-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCCC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175388,175388,COc1cc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)N1CCCC1,LVHVGUNCVPTISU-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CCC(C)C4CCCC4)CC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175390,175390,COc1cc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)N1CCCCCC1,LLOHYALDWMUHGF-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CCC(C)C4CCCCCC4)CC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175393,175393,COc1cc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)n1ccnc1,IMWFUDXESXPFJA-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CCC(C)C4CCCC4)CC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175394,175394,COc1ccc(CCNC(=O)COc2ccc(-c3nc4c([nH]3)c(=O)n(C)c(=O)n4C)cc2OC)cc1OC,BFYUKZCEESTNPD-UHFFFAOYSA-N,CC(CCCC1CCCCC1)CCC1CCC(C2CC3CC(C)CC(C)C3C2)CC1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175395,175395,COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OCC(=O)NCCN(C)C,HRFAEZWDSALPPI-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCCC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175396,175396,CCN(CC)CCNC(=O)COc1cc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OC,WBKKRRRQOWLLBK-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCCC3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175397,175397,COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OCC(=O)N1CCCC1,NTOPCEYEXCCFNE-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCC4)C3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175398,175398,COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OCC(=O)N1CCCCC1,BMBWRZPUMJHDJI-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCCC4)C3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175399,175399,COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OCC(=O)N1CCCCCC1,IDGFGLTVKLOCMJ-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCCCC4)C3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175400,175400,COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OCC(=O)N1CCOCC1,RAWZXLWRGULNGN-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCCC4)C3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175401,175401,COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OCC(=O)N1CCN(C)CC1,XPDRAVHADRZCQU-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCCC4)C3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175402,175402,COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OCC(=O)N1C=NCC1,UFDSXJSHQYVRHF-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCC4)C3)CC2C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-175403,175403,COc1ccc(CCNC(=O)COc2cc(-c3nc4c([nH]3)c(=O)n(C)c(=O)n4C)ccc2OC)cc1OC,LTDQAWJREJGEPO-UHFFFAOYSA-N,CC(CCCC1CCCCC1)CCC1CCCC(C2CC3CC(C)CC(C)C3C2)C1,10.1016/j.bioorg.2016.01.003,26851736,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
