candidate_id,bindingdb_monomer_id,standardized_smiles,standardized_inchikey,generic_murcko_scaffold_smiles,doi,pmid,sealed_exact_ki_measurement_count,prior_exact_structure_overlap,model_selection_generic_scaffold_overlap,primary_evidence_review_status,intake_status,quarantine_reasons
BDB-50604944,50604944,Nc1nc(-c2ccco2)c2cnn(Cc3cccc(OCCCCCC(=O)NO)n3)c2n1,CMGJPVLKHNPFFV-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604945,50604945,Nc1nc(-c2ccco2)c2cnn(Cc3cccc(OCCCCCCC(=O)NO)n3)c2n1,RQDWUHDIGLJGCG-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604946,50604946,Cc1ccc(-c2nc(N)nc3c2cnn3Cc2cccc(OCCCCC(=O)NO)n2)o1,OUWGVHNEPISDJV-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604947,50604947,Cc1ccc(-c2nc(N)nc3c2cnn3Cc2cccc(OCCCCCC(=O)NO)n2)o1,FCIAWMPGAVAUAC-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604948,50604948,Cc1ccc(-c2nc(N)nc3c2cnn3Cc2cccc(OCCCCCCC(=O)NO)n2)o1,ZRDDVKHINJTHNY-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604949,50604949,Nc1nc(-c2ccco2)c2cnn(Cc3ccc(N)c(OCCCCCCC(=O)NO)c3)c2n1,NJQFOUVHOGXLPQ-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604950,50604950,Cc1ccc(-c2nc(N)nc3c2cnn3Cc2ccc(N)c(OCCCCCCC(=O)NO)c2)o1,AURVZVCNNNFNKZ-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50628399,50628399,CCCCC#Cc1nc(N)c2nc(-c3ccco3)n([C@@H]3OC[C@@H](O)[C@H]3O)c2n1,JFCCLEWBAGSLFT-PRIMNGNOSA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,10.1021/acs.jmedchem.3c00806,37603705,2,True,True,pending_dual_review,quarantined_before_evidence_review,exact_structure_previously_visible|generic_scaffold_overlaps_model_selection
BDB-50628400,50628400,CCCCC#Cc1nc(NC)c2nc(-c3ccco3)n([C@@H]3OC[C@@H](O)[C@H]3O)c2n1,AOQZOGKNUADFRH-CBLJQSSYSA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,10.1021/acs.jmedchem.3c00806,37603705,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50628401,50628401,CCCCC#Cc1nc(NC)c2nc(-c3cccs3)n([C@@H]3OC[C@@H](O)[C@H]3O)c2n1,BJWNWHKUOZZNRL-CBLJQSSYSA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,10.1021/acs.jmedchem.3c00806,37603705,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
