chembl_id,molecule_name,proposed_class,evidence_strength,functional_activity_rows,unique_assays,unique_documents,representative_assay,representative_document,representative_readout,representative_description,standardized_smiles,standardized_inchikey,generic_scaffold,passes_prospective_property_filters,review_decision,reviewer,review_notes
CHEMBL3222055,CHEMBL3222055,antagonist,high,2,2,2,CHEMBL3223903,CHEMBL3217453,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Nc1nc(-c2ccco2)nc2sc(CN3CCOCC3)cc12,WKCYYQAUFYIEID-UHFFFAOYSA-N,C1CCC(CC2CC3CCC(C4CCCC4)CC3C2)CC1,True,,,
CHEMBL3222061,CHEMBL3222061,antagonist,high,2,2,2,CHEMBL3223903,CHEMBL3217453,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Nc1nc(-c2ccco2)nc2sc(CN3CCCC(F)(F)C3)cc12,KYXCXHCFXDUHNI-UHFFFAOYSA-N,C1CCC(CC2CC3CCC(C4CCCC4)CC3C2)CC1,True,,,
CHEMBL3222062,CHEMBL3222062,antagonist,high,2,2,2,CHEMBL3223903,CHEMBL3217453,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,C[C@@H]1CCC[C@H](C)N1Cc1cc2c(N)nc(-c3ccco3)nc2s1,PVOIMUIDWFQGQH-TXEJJXNPSA-N,C1CCC(CC2CC3CCC(C4CCCC4)CC3C2)CC1,True,,,
CHEMBL3317574,CHEMBL3317574,antagonist,high,2,2,2,CHEMBL5126857,CHEMBL5126505,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP production measured by scintillation counter assay,Nc1nc(CCCc2ccccc2)nc2cn(-c3ccccc3)nc12,QXNZRRSDCMNJDB-UHFFFAOYSA-N,C1CCC(CCCC2CCC3CC(C4CCCCC4)CC3C2)CC1,True,,,
CHEMBL4064795,CHEMBL4064795,antagonist,high,2,2,2,CHEMBL4012875,CHEMBL4011624,IC50,Antagonist activity at human adenosine receptor A2A expressed in CHO cell membranes assessed as inhibition of NECA-induced increase of cAMP accumulation preincubated for 10 mins followed by NECA addition measured after 10 mins by GloSensor cAMP assay,CCOc1ccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1,SHMHGBZUFQHAIL-UHFFFAOYSA-N,CC1C2CC(C3CCCCC3)CCC2CC1C1CCCCC1,True,,,
CHEMBL4297184,CIFORADENANT,antagonist,high,8,8,3,CHEMBL4701023,CHEMBL4699449,IC50,Antagonist activity at human adenosine 2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced cAMP by immunoassay,Cc1ccc(-c2nc(N)nc3c2nnn3Cc2cccc(CO[C@H]3CCOC3)n2)o1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,C1CCC(CCC2CCCC(CC3CCC4C(C5CCCC5)CCCC34)C2)C1,True,,,
CHEMBL458242,CHEMBL458242,antagonist,high,2,2,2,CHEMBL950440,CHEMBL1152277,IC50,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of CGS-21680-induced cAMP production,COc1cncc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)c1,ZPOFECDYIXUBJD-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCCC3)C2)CC1,True,,,
CHEMBL4849795,CHEMBL4849795,antagonist,high,2,2,2,CHEMBL4814789,CHEMBL4813923,IC50,Antagonist activity at human A2A expressed in human HEK293 cells assessed as reduction in cAMP production preincubated for 10 mins followed by NECA stimulation and measured after 30 mins by micro plate reader method,Nc1nc(Cc2ccccc2)cn2c1nc1ccccc12,NULDMQXOPYHTEN-UHFFFAOYSA-N,C1CCC(CC2CCC3CC4CCCCC4C3C2)CC1,True,,,
CHEMBL5203469,CHEMBL5203469,antagonist,high,5,5,2,CHEMBL5130200,CHEMBL5126612,EC50,Antagonist activity at wild type human A2AAR expressed in CHO cells assessed as inhibition of CGS21680-induced cAMP accumulation preincubated for 20 mins followed by CGS21680 addition and measured after 20 mins by by alpha screen assay,CCCCC#Cc1nc(N)c2nc(-c3cccs3)n([C@@H]3OC[C@@H](O)[C@H]3O)c2n1,MUHXGASCCALSAJ-PRIMNGNOSA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,True,,,
CHEMBL1688379,CHEMBL1688379,agonist,medium,2,2,1,CHEMBL1948461,CHEMBL1944553,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as induction of cAMP production after 30 mins by immunoassay,CCCC/C=C/c1nc(N)c2ncn([C@@H]3SC[C@@H](O)[C@H]3O)c2n1,UONIWMUCKYCQKH-GXDOZBQNSA-N,C1CCC2C(C1)CCC2C1CCCC1,True,,,
CHEMBL1945563,CHEMBL1945563,agonist,medium,2,2,1,CHEMBL1948461,CHEMBL1944553,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as induction of cAMP production after 30 mins by immunoassay,CCCCC#Cc1nc(N)c2ncn([C@@H]3OC[C@@H](O)[C@H]3O)c2n1,KVSBFXTVPHRJRK-DDHOLCJHSA-N,C1CCC2C(C1)CCC2C1CCCC1,True,,,
CHEMBL2070507,CHEMBL2070507,agonist,medium,2,2,1,CHEMBL2072287,CHEMBL2069206,EC50,Agonist activity at human A2A adenosine receptor expressed in CHO cells assessed as stimulation of forskolin-induced cAMP accumulation after 30 mins,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)NC2CCC2)[C@@H](O)[C@H]1O,CGYRWWMWNACLSU-AEISUSGSSA-N,CC(CC1CCC1)C1CCC(C2CCC3CCCCC32)C1,True,,,
CHEMBL2070508,CHEMBL2070508,agonist,medium,2,2,1,CHEMBL2072287,CHEMBL2069206,EC50,Agonist activity at human A2A adenosine receptor expressed in CHO cells assessed as stimulation of forskolin-induced cAMP accumulation after 30 mins,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)NC2CCCC2)[C@@H](O)[C@H]1O,ISNMLOJARGEFLK-BQVMBELUSA-N,CC(CC1CCCC1)C1CCC(C2CCC3CCCCC32)C1,True,,,
CHEMBL2096798,CHEMBL2096798,agonist,medium,2,2,1,CHEMBL3743420,CHEMBL3739405,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as stimulation of NECA-mediated cAMP accumulation preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](C)Cc5ccc(OC)cc5)nc43)[C@H](O)[C@@H]2O)n1,WOKSHSWUKATBJD-NPZWOMMPSA-N,C1CCC(CCCC2CCC3CCC(C4CCC(C5CCCC5)C4)C3C2)CC1,False,,,
CHEMBL3416801,CHEMBL3416801,agonist,medium,2,2,1,CHEMBL3419486,CHEMBL3414558,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as stimulation of [3H]cAMP levels by scintillation counting method,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(N4CCN(c5ccccc5)CC4)nc32)[C@H](O)[C@@H]1O,VOMVVKGMVNIXGH-GRXQJBFDSA-N,C1CCC(C2CCC(C3CCC4CCC(C5CCCC5)C4C3)CC2)CC1,True,,,
CHEMBL3416802,CHEMBL3416802,agonist,medium,2,2,1,CHEMBL3419486,CHEMBL3414558,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as stimulation of [3H]cAMP levels by scintillation counting method,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(N4CCN(c5ccc(F)cc5)CC4)nc32)[C@H](O)[C@@H]1O,QZSNGWNKFCNGLP-GRXQJBFDSA-N,C1CCC(C2CCC(C3CCC4CCC(C5CCCC5)C4C3)CC2)CC1,True,,,
CHEMBL3416803,CHEMBL3416803,agonist,medium,2,2,1,CHEMBL3419486,CHEMBL3414558,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as stimulation of [3H]cAMP levels by scintillation counting method,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(N4CCN(c5ccc(OC)cc5)CC4)nc32)[C@H](O)[C@@H]1O,LVFIZODFBSVCOC-RQXXJAGISA-N,C1CCC(C2CCC(C3CCC4CCC(C5CCCC5)C4C3)CC2)CC1,True,,,
CHEMBL3416804,CHEMBL3416804,agonist,medium,2,2,1,CHEMBL3419486,CHEMBL3414558,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as stimulation of [3H]cAMP levels by scintillation counting method,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(N4CCN(c5ccc(OCCOC)cc5)CC4)nc32)[C@H](O)[C@@H]1O,DHSVSNGIGFVEQT-CMCWBKRRSA-N,C1CCC(C2CCC(C3CCC4CCC(C5CCCC5)C4C3)CC2)CC1,False,,,
CHEMBL3416805,CHEMBL3416805,agonist,medium,2,2,1,CHEMBL3419486,CHEMBL3414558,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as stimulation of [3H]cAMP levels by scintillation counting method,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(N4CCN(c5ccc(OCc6ccccc6)cc5)CC4)nc32)[C@H](O)[C@@H]1O,BMVQYTBZDSZAEL-NLJXWPIHSA-N,C1CCC(CCC2CCC(C3CCC(C4CCC5CCC(C6CCCC6)C5C4)CC3)CC2)CC1,False,,,
CHEMBL3416809,CHEMBL3416809,agonist,medium,2,2,1,CHEMBL3419486,CHEMBL3414558,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as stimulation of [3H]cAMP levels by scintillation counting method,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(N4CCN(c5ccc(OCc6ccncc6)cc5)CC4)nc32)[C@H](O)[C@@H]1O,KRSDSGUJIIYWTO-NBCVKUGOSA-N,C1CCC(CCC2CCC(C3CCC(C4CCC5CCC(C6CCCC6)C5C4)CC3)CC2)CC1,False,,,
CHEMBL3740436,CHEMBL3740436,agonist,medium,2,2,1,CHEMBL3743420,CHEMBL3739405,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as stimulation of NECA-mediated cAMP accumulation preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(NC(C)Cc5ccc(F)cc5)nc43)[C@H](O)[C@@H]2O)n1,PEDPEBSEOVTFAH-NNICEFRLSA-N,C1CCC(CCCC2CCC3CCC(C4CCC(C5CCCC5)C4)C3C2)CC1,False,,,
CHEMBL3740507,CHEMBL3740507,agonist,medium,2,2,1,CHEMBL3743420,CHEMBL3739405,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as stimulation of NECA-mediated cAMP accumulation preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@@H](C)Cc5ccc(OC)cc5)nc43)[C@H](O)[C@@H]2O)n1,WOKSHSWUKATBJD-NRULZZDXSA-N,C1CCC(CCCC2CCC3CCC(C4CCC(C5CCCC5)C4)C3C2)CC1,False,,,
CHEMBL3740939,CHEMBL3740939,agonist,medium,2,2,1,CHEMBL3743205,CHEMBL3739405,Emax,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as stimulation of NECA-mediated cAMP accumulation preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay relative to NECA,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N(C)C)nc43)[C@H](O)[C@@H]2O)n1,XACFFOLLZVHOCM-QRIDJOKKSA-N,C1CCC(C2CCC(C3CCC4CCCCC43)C2)C1,True,,,
CHEMBL3740959,CHEMBL3740959,agonist,medium,2,2,1,CHEMBL3743420,CHEMBL3739405,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as stimulation of NECA-mediated cAMP accumulation preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(NC(C)Cc5ccccc5)nc43)[C@H](O)[C@@H]2O)n1,QNCPQBFIQUQVFE-TWPVINNASA-N,C1CCC(CCCC2CCC3CCC(C4CCC(C5CCCC5)C4)C3C2)CC1,False,,,
CHEMBL3741393,CHEMBL3741393,agonist,medium,2,2,1,CHEMBL3743420,CHEMBL3739405,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as stimulation of NECA-mediated cAMP accumulation preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,CC(Cc1ccccc1)Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,YISHBQSEDYNEAM-BTBIENRZSA-N,C1CCC(CCCC2CCC3CCC(C4CCCC4)C3C2)CC1,True,,,
CHEMBL3741543,CHEMBL3741543,agonist,medium,2,2,1,CHEMBL3743420,CHEMBL3739405,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as stimulation of NECA-mediated cAMP accumulation preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(NC(C)Cc5ccc(OC)cc5)nc43)[C@H](O)[C@@H]2O)n1,WOKSHSWUKATBJD-BYZAXBFFSA-N,C1CCC(CCCC2CCC3CCC(C4CCC(C5CCCC5)C4)C3C2)CC1,False,,,
CHEMBL3741805,CHEMBL3741805,agonist,medium,2,2,1,CHEMBL3743420,CHEMBL3739405,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as stimulation of NECA-mediated cAMP accumulation preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(NC(C)Cc5ccc(Cl)cc5)nc43)[C@H](O)[C@@H]2O)n1,CHWBSSSPFNREAT-NNICEFRLSA-N,C1CCC(CCCC2CCC3CCC(C4CCC(C5CCCC5)C4)C3C2)CC1,False,,,
CHEMBL3741931,CHEMBL3741931,agonist,medium,2,2,1,CHEMBL3743420,CHEMBL3739405,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as stimulation of NECA-mediated cAMP accumulation preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(NC(C)Cc5ccc(Br)cc5)nc43)[C@H](O)[C@@H]2O)n1,IZCMXQFSKWYOTL-NNICEFRLSA-N,C1CCC(CCCC2CCC3CCC(C4CCC(C5CCCC5)C4)C3C2)CC1,False,,,
CHEMBL3742258,CHEMBL3742258,agonist,medium,2,2,1,CHEMBL3743420,CHEMBL3739405,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as stimulation of NECA-mediated cAMP accumulation preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(NC(C)Cc5ccc(C(F)(F)F)cc5)nc43)[C@H](O)[C@@H]2O)n1,NASMEUPPFLRIDW-NNICEFRLSA-N,C1CCC(CCCC2CCC3CCC(C4CCC(C5CCCC5)C4)C3C2)CC1,False,,,
CHEMBL3771208,CHEMBL3771208,agonist,medium,2,2,1,CHEMBL5099262,CHEMBL5096218,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO-K1 cells assessed as inhibition of forskolin-induced cAMP accumulation incubated for 30 mins by LANCE ultra assay,OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCC[C@H]4OCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,XSVRBMOJKPAIJX-NKYRPOHVSA-N,C1CCC(CCC2CCCC2CC2CCCC3C(C4CCCC4)CCC23)CC1,True,,,
CHEMBL4059961,CHEMBL4059961,agonist,medium,2,2,1,CHEMBL4052151,CHEMBL4049451,EC50,Agonist activity at recombinant human adenosine A2A receptor expressed in CHO cell membranes assessed as stimulation of adenylyl cyclase activity by [alpha-32P]ATP assay,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NCc5cccc(Br)c5)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1,WTSRCKFFAWSKBH-MOROJQBDSA-N,C1CCC(CCC2CCCC3C2CCC3C2CCC(C3CCCC3)C2)CC1,True,,,
CHEMBL4063841,CHEMBL4063841,agonist,medium,3,3,1,CHEMBL4048590,CHEMBL4043287,EC50,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,Nc1sc(-c2ccc(C(=O)NCCCCCNc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)c(-c2cccc(C(F)(F)F)c2)c1C(=O)c1ccccc1,HYJFZTMSAYHUCD-VNXSDAFKSA-N,CC(CCCCCCCC1CCCC2C(C3CCCC3)CCC12)C1CCC(C2CCC(C(C)C3CCCCC3)C2C2CCCCC2)CC1,False,,,
CHEMBL4069296,CHEMBL4069296,agonist,medium,3,3,1,CHEMBL4048590,CHEMBL4043287,EC50,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,Nc1nc(NCCCCCCNC(=O)c2ccc(-c3sc(N)c(C(=O)c4ccccc4)c3-c3cccc(C(F)(F)F)c3)cc2)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,LBKWWLLQIVWELQ-VNXSDAFKSA-N,CC(CCCCCCCCC1CCCC2C(C3CCCC3)CCC12)C1CCC(C2CCC(C(C)C3CCCCC3)C2C2CCCCC2)CC1,False,,,
CHEMBL4071338,CHEMBL4071338,agonist,medium,2,2,1,CHEMBL4052151,CHEMBL4049451,EC50,Agonist activity at recombinant human adenosine A2A receptor expressed in CHO cell membranes assessed as stimulation of adenylyl cyclase activity by [alpha-32P]ATP assay,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NCc5cccc(Cl)c5)ncnc43)[C@H](O)[C@@H]2O)n1,OMBBIIJKWNGXQS-QCUYGVNKSA-N,C1CCC(CCC2CCCC3C2CCC3C2CCC(C3CCCC3)C2)CC1,True,,,
CHEMBL4072009,CHEMBL4072009,agonist,medium,3,3,1,CHEMBL4048590,CHEMBL4043287,pEC50,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,Nc1sc(-c2ccccc2C(=O)NCCCCCCNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(-c2cccc(C(F)(F)F)c2)c1C(=O)c1ccccc1,INHVHVABDDQLDR-IYRWRCLLSA-N,CC(CCCCCCCCC1CCCC2C(C3CCCC3)CCC12)C1CCCCC1C1CCC(C(C)C2CCCCC2)C1C1CCCCC1,False,,,
CHEMBL4075186,CHEMBL4075186,agonist,medium,3,3,1,CHEMBL4048590,CHEMBL4043287,EC50,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,Nc1sc(-c2ccc(C(=O)NCCCCCCCNc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)c(-c2cccc(C(F)(F)F)c2)c1C(=O)c1ccccc1,RDGGIYYOAIQPFG-VVTIBKNXSA-N,CC(CCCCCCCCCC1CCCC2C(C3CCCC3)CCC12)C1CCC(C2CCC(C(C)C3CCCCC3)C2C2CCCCC2)CC1,False,,,
CHEMBL4076003,CHEMBL4076003,agonist,medium,2,2,1,CHEMBL4052151,CHEMBL4049451,EC50,Agonist activity at recombinant human adenosine A2A receptor expressed in CHO cell membranes assessed as stimulation of adenylyl cyclase activity by [alpha-32P]ATP assay,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NCc5ccco5)ncnc43)[C@H](O)[C@@H]2O)n1,VLAOLJRMDZJSLN-PFHKOEEOSA-N,C1CCC(CCC2CCCC3C2CCC3C2CCC(C3CCCC3)C2)C1,True,,,
CHEMBL4076495,CHEMBL4076495,agonist,medium,3,3,1,CHEMBL4048590,CHEMBL4043287,EC50,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,Nc1sc(-c2ccc(C(=O)NCCCCCCNc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)cc1C(=O)c1ccccc1,RSKKOALBKRBUAX-QMEWKUSNSA-N,CC(CCCCCCCCC1CCCC2C(C3CCCC3)CCC12)C1CCC(C2CCC(C(C)C3CCCCC3)C2)CC1,False,,,
CHEMBL4076561,CHEMBL4076561,agonist,medium,2,2,1,CHEMBL4052151,CHEMBL4049451,EC50,Agonist activity at recombinant human adenosine A2A receptor expressed in CHO cell membranes assessed as stimulation of adenylyl cyclase activity by [alpha-32P]ATP assay,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NCc5cccs5)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1,HOKAGORUHNENMD-MEQWQQMJSA-N,C1CCC(CCC2CCCC3C2CCC3C2CCC(C3CCCC3)C2)C1,True,,,
CHEMBL4076565,CHEMBL4076565,agonist,medium,3,3,1,CHEMBL4048590,CHEMBL4043287,EC50,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,CC(=O)Nc1sc(-c2ccc(C(=O)NCCCCCCNc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)c(-c2cccc(C(F)(F)F)c2)c1C(=O)c1ccccc1,VZUSXSUHNAAHPY-IEHZUEKLSA-N,CC(CCCCCCCCC1CCCC2C(C3CCCC3)CCC12)C1CCC(C2CCC(C(C)C3CCCCC3)C2C2CCCCC2)CC1,False,,,
