measurement_id,molecule_id,standardized_inchikey,endpoint_name,functional_mode,functional_mode_source,standard_type,standard_relation,standard_value,standard_units,pactivity_value,pactivity_recalculated,pactivity_absolute_difference,assay_chembl_id,target_chembl_id,target_gene,target_organism,target_type,target_confidence,assay_type,bao_format,cell_chembl_id,document_chembl_id,doi,pmid,document_type,source_retrieved_at,data_validity_comment,activity_comment,review_status,admission_reasons,development_partition
13287469,CHEMBL2377089,CDJGHJCXXQGCRZ-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,>,1000.0,nM,,6.000000,,CHEMBL2380019,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL2375358,10.1016/j.bmcl.2013.02.078,23522563,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_exact_relation|pchembl_missing_or_inconsistent,development
13287537,CHEMBL2377095,BHVPOSFNSGUGIO-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,63.4,nM,7.20,7.197911,0.002089,CHEMBL2380019,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL2375358,10.1016/j.bmcl.2013.02.078,23522563,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,development
13287515,CHEMBL2377096,JWFFZYKQEFJTQY-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,222.0,nM,6.65,6.653647,0.003647,CHEMBL2380019,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL2375358,10.1016/j.bmcl.2013.02.078,23522563,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,development
13287518,CHEMBL2377108,CZCQGKAJTJOUKQ-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,203.0,nM,6.69,6.692504,0.002504,CHEMBL2380019,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL2375358,10.1016/j.bmcl.2013.02.078,23522563,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,locked_holdout
13287511,CHEMBL2377223,NVNOBGYXPMPAEC-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,263.0,nM,6.58,6.580044,0.000044,CHEMBL2380019,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL2375358,10.1016/j.bmcl.2013.02.078,23522563,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,locked_holdout
13287543,CHEMBL2377235,DFBNAUSKOWYPSJ-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,31.0,nM,7.51,7.508638,0.001362,CHEMBL2380019,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL2375358,10.1016/j.bmcl.2013.02.078,23522563,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,development
13287528,CHEMBL2377236,NEGXZKPQYUOIFO-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,107.0,nM,6.97,6.970616,0.000616,CHEMBL2380019,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL2375358,10.1016/j.bmcl.2013.02.078,23522563,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,development
13287535,CHEMBL2377238,JNBHZYOEHBWUGX-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,67.3,nM,7.17,7.171985,0.001985,CHEMBL2380019,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL2375358,10.1016/j.bmcl.2013.02.078,23522563,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,development
13300486,CHEMBL2381765,WGAKQGDHUAFLTM-UHFFFAOYSA-N,pFunc_inhibition,antagonist,assay_text_rule,IC50,>,100000.0,nM,,4.000000,,CHEMBL2384072,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3308072,CHEMBL2380258,10.1016/j.bmcl.2013.03.070,23602401,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,non_exact_relation|pchembl_missing_or_inconsistent,locked_holdout
13300493,CHEMBL2381765,WGAKQGDHUAFLTM-UHFFFAOYSA-N,pFunc_inhibition,antagonist,assay_text_rule,IC50,>,100000.0,nM,,4.000000,,CHEMBL2384072,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3308072,CHEMBL2380258,10.1016/j.bmcl.2013.03.070,23602401,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,non_exact_relation|pchembl_missing_or_inconsistent,locked_holdout
13299560,CHEMBL2382434,QMBOZLGNPMVERZ-UHFFFAOYSA-N,,antagonist,assay_text_rule,Activity,,,,,,,CHEMBL2382682,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3308072,CHEMBL2380255,10.1021/jm400336x,23631427,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_exact_relation|non_nm_units|non_positive_or_missing_value|pchembl_missing_or_inconsistent,development
13299561,CHEMBL2382434,QMBOZLGNPMVERZ-UHFFFAOYSA-N,,antagonist,assay_text_rule,Activity,,,,,,,CHEMBL2382683,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3308072,CHEMBL2380255,10.1021/jm400336x,23631427,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_exact_relation|non_nm_units|non_positive_or_missing_value|pchembl_missing_or_inconsistent,development
13299663,CHEMBL2382434,QMBOZLGNPMVERZ-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,39.5,nM,7.40,7.403403,0.003403,CHEMBL2382692,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3308072,CHEMBL2380255,10.1021/jm400336x,23631427,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
2141180,CHEMBL259105,XICBEZUAIRPALD-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,426.58,nM,6.37,6.370000,0.000000,CHEMBL939996,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3308072,CHEMBL1143979,10.1016/j.bmc.2008.01.002,18226909,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,locked_holdout
2141207,CHEMBL259105,XICBEZUAIRPALD-UHFFFAOYSA-N,,antagonist,assay_text_rule,Activity,,,,,,,CHEMBL940083,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3308072,CHEMBL1143979,10.1016/j.bmc.2008.01.002,18226909,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,Dose-dependent effect,quarantine,endpoint_or_functional_mode_not_admitted|non_exact_relation|non_nm_units|non_positive_or_missing_value|pchembl_missing_or_inconsistent,locked_holdout
2141096,CHEMBL259580,SLHFRTFEGMLRBP-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,467.74,nM,6.33,6.329995,0.000005,CHEMBL939996,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3308072,CHEMBL1143979,10.1016/j.bmc.2008.01.002,18226909,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
