chembl_id,molecule_name,proposed_class,evidence_strength,functional_activity_rows,unique_assays,unique_documents,representative_assay,representative_document,representative_readout,representative_description,standardized_smiles,standardized_inchikey,generic_scaffold,passes_prospective_property_filters,review_notes,curation_batch,batch_priority,reviewer_1,decision_1,reviewer_2,decision_2,adjudicator,final_decision
CHEMBL2153620,CHEMBL2153620,antagonist,initial,1,1,1,CHEMBL2154401,CHEMBL2150901,Kb,Antagonist activity human recombinant adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-mediated [3H]cAMP accumulation after 15 mins by liquid scintillation counting,CC1CCC(N2CCCn3c2nc2c3c(=O)n(C)c(=O)n2C)CC1,HXKSIAZEWSOTLE-UHFFFAOYSA-N,CC1CC(C)C2C(C1)CC1C(C3CCCCC3)CCCC12,True,,3,36,,,,,,
CHEMBL119709,IB-MECA,agonist,initial,1,1,1,CHEMBL3135340,CHEMBL3132785,EC50,Agonist activity at human adenosine A2A receptor expressed in FlpIn-CHO cells assessed as inhibition of forskolin-induced cAMP accumulation after 30 mins by fluorescence assay,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,HUJXGQILHAUCCV-MOROJQBDSA-N,C1CCC(CCC2CCCC3C(C4CCCC4)CCC23)CC1,True,,3,37,,,,,,
CHEMBL2153627,CHEMBL2153627,antagonist,initial,1,1,1,CHEMBL2154401,CHEMBL2150901,Kb,Antagonist activity human recombinant adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-mediated [3H]cAMP accumulation after 15 mins by liquid scintillation counting,Cn1c(=O)c2c(nc3n2CCCN3CC2CC2)n(C)c1=O,YRBJBKSUFQWHDB-UHFFFAOYSA-N,CC1CC(C)C2C(C1)CC1C(CC3CC3)CCCC12,True,,3,38,,,,,,
CHEMBL2153629,CHEMBL2153629,antagonist,initial,1,1,1,CHEMBL2154401,CHEMBL2150901,Kb,Antagonist activity human recombinant adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-mediated [3H]cAMP accumulation after 15 mins by liquid scintillation counting,Cn1c(=O)c2c(nc3n2CCN3C2CCCCCCC2)n(C)c1=O,BMVNEXDBQUNWCE-UHFFFAOYSA-N,CC1CC(C)C2C(C1)CC1C(C3CCCCCCC3)CCC12,True,,3,39,,,,,,
CHEMBL122396,CHEMBL122396,agonist,initial,1,1,1,CHEMBL649777,CHEMBL1148363,Efficacy,Stimulation of human adenosine A2A receptor in production of cAMP in CHO cells,COc1ccc(-c2c(C#N)c(N)nc(SCc3ncc[nH]3)c2C#N)cc1,BCWROVBBUOSFGD-UHFFFAOYSA-N,C1CCC(C2CCCC(CCC3CCCC3)C2)CC1,True,,3,40,,,,,,
CHEMBL2165799,CHEMBL2165799,antagonist,initial,1,1,1,CHEMBL2167687,CHEMBL2163234,Ki,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(Cc3cncc(F)c3)ccc1C2=O,SGXSQJCDFWYGRN-UHFFFAOYSA-N,CC1C2CCC(CC3CCCCC3)CC2C2CCCC(C3CCCCC3)C12,True,,3,41,,,,,,
CHEMBL2165804,CHEMBL2165804,antagonist,initial,1,1,1,CHEMBL2167687,CHEMBL2163234,Ki,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,CC(C)n1cc(-c2ncc(N)nc2-c2ccc(F)cc2)ccc1=O,MNUJNGGYFNZUNB-UHFFFAOYSA-N,CC1CCC(C2CCCCC2C2CCCCC2)CC1,True,,3,42,,,,,,
CHEMBL2165806,CHEMBL2165806,antagonist,initial,1,1,1,CHEMBL2167687,CHEMBL2163234,Ki,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CN3C4CCC3CC4)ccc1C2=O,CTSJRKVVECGHGZ-UHFFFAOYSA-N,CC1C2CCC(CC3C4CCC3CC4)CC2C2CCCC(C3CCCCC3)C12,True,,3,43,,,,,,
CHEMBL1417210,CHEMBL1417210,agonist,initial,1,1,1,CHEMBL5129738,CHEMBL5126601,Activity,Agonist activity at human adenosine A2A receptor expressed in HEK293T cells assessed as stimulation of cAMP accumulation by GloSensor cAMP accumulation assay,Cc1nn(-c2ccccc2)nc1C(N)=O,IHPOVUXVIZRYAC-UHFFFAOYSA-N,C1CCC(C2CCCC2)CC1,True,,3,44,,,,,,
CHEMBL2377086,CHEMBL2377086,antagonist,initial,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Nc1nc(-c2ccccc2)nc2sccc12,VQUWVROZMNLFDC-UHFFFAOYSA-N,C1CCC(C2CCC3CCCC3C2)CC1,True,,3,45,,,,,,
