chembl_id,molecule_name,standardized_smiles,standardized_inchikey,functional_activity_rows,unique_assays,unique_documents,representative_assay,representative_document,representative_readout,representative_description,reviewer,decision,evidence_tier,source_checked,review_notes,reviewed_at_utc
CHEMBL2042059,CHEMBL2042059,COc1cccc2cc(C(=O)NC3CCCCC3)c(=N)oc12,LUFDYZFYLCODSE-UHFFFAOYSA-N,1,1,1,CHEMBL2045255,CHEMBL2040792,pKb,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP accumulation incubated for 15 mins prior to NECA-induction measured after 15 mins by enzyme immunoassay relative to control,Tharran,,,,,
CHEMBL2042062,CHEMBL2042062,COc1cccc2cc(C(=O)NCCCOCCCCOCCCNC(=O)c3cc4cccc(OC)c4oc3=N)c(=N)oc12,JNCOYVVDNPCLKB-UHFFFAOYSA-N,1,1,1,CHEMBL2045255,CHEMBL2040792,pKb,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP accumulation incubated for 15 mins prior to NECA-induction measured after 15 mins by enzyme immunoassay relative to control,Tharran,,,,,
CHEMBL2042073,CHEMBL2042073,COc1cccc2cc(C(=O)NCCc3ccc(O)cc3)c(=N)oc12,FZDOJZCUDKGLGL-UHFFFAOYSA-N,1,1,1,CHEMBL2045255,CHEMBL2040792,pKb,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP accumulation incubated for 15 mins prior to NECA-induction measured after 15 mins by enzyme immunoassay relative to control,Tharran,,,,,
CHEMBL3414946,CHEMBL3414946,CCn1nnc([C@H]2O[C@@H](n3cnc4c(Nc5ccc(Cl)cc5F)ncnc43)[C@H](O)[C@@H]2O)n1,SLEKQRJDUVSCPY-MOROJQBDSA-N,2,1,1,CHEMBL3420494,CHEMBL3414438,EC50,Agonist activity at human recombinant adenosine A2A receptor transfected in CHO cells assessed as induction of adenylyl cyclase activity,Tharran,,,,,
CHEMBL2042081,CHEMBL2042081,COc1cccc2cc(C(=O)Nc3c(C#N)ncn3-c3ccc(F)cc3)c(=N)oc12,VLBFZMVIQCLDRL-UHFFFAOYSA-N,1,1,1,CHEMBL2045255,CHEMBL2040792,pKb,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP accumulation incubated for 15 mins prior to NECA-induction measured after 15 mins by enzyme immunoassay relative to control,Tharran,,,,,
CHEMBL2153620,CHEMBL2153620,CC1CCC(N2CCCn3c2nc2c3c(=O)n(C)c(=O)n2C)CC1,HXKSIAZEWSOTLE-UHFFFAOYSA-N,1,1,1,CHEMBL2154401,CHEMBL2150901,Kb,Antagonist activity human recombinant adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-mediated [3H]cAMP accumulation after 15 mins by liquid scintillation counting,Tharran,,,,,
CHEMBL119709,IB-MECA,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,HUJXGQILHAUCCV-MOROJQBDSA-N,1,1,1,CHEMBL3135340,CHEMBL3132785,EC50,Agonist activity at human adenosine A2A receptor expressed in FlpIn-CHO cells assessed as inhibition of forskolin-induced cAMP accumulation after 30 mins by fluorescence assay,Tharran,,,,,
CHEMBL2153627,CHEMBL2153627,Cn1c(=O)c2c(nc3n2CCCN3CC2CC2)n(C)c1=O,YRBJBKSUFQWHDB-UHFFFAOYSA-N,1,1,1,CHEMBL2154401,CHEMBL2150901,Kb,Antagonist activity human recombinant adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-mediated [3H]cAMP accumulation after 15 mins by liquid scintillation counting,Tharran,,,,,
CHEMBL2153629,CHEMBL2153629,Cn1c(=O)c2c(nc3n2CCN3C2CCCCCCC2)n(C)c1=O,BMVNEXDBQUNWCE-UHFFFAOYSA-N,1,1,1,CHEMBL2154401,CHEMBL2150901,Kb,Antagonist activity human recombinant adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-mediated [3H]cAMP accumulation after 15 mins by liquid scintillation counting,Tharran,,,,,
CHEMBL122396,CHEMBL122396,COc1ccc(-c2c(C#N)c(N)nc(SCc3ncc[nH]3)c2C#N)cc1,BCWROVBBUOSFGD-UHFFFAOYSA-N,1,1,1,CHEMBL649777,CHEMBL1148363,Efficacy,Stimulation of human adenosine A2A receptor in production of cAMP in CHO cells,Tharran,,,,,
CHEMBL2165799,CHEMBL2165799,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(Cc3cncc(F)c3)ccc1C2=O,SGXSQJCDFWYGRN-UHFFFAOYSA-N,1,1,1,CHEMBL2167687,CHEMBL2163234,Ki,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,Tharran,,,,,
CHEMBL2165804,CHEMBL2165804,CC(C)n1cc(-c2ncc(N)nc2-c2ccc(F)cc2)ccc1=O,MNUJNGGYFNZUNB-UHFFFAOYSA-N,1,1,1,CHEMBL2167687,CHEMBL2163234,Ki,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,Tharran,,,,,
CHEMBL2165806,CHEMBL2165806,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CN3C4CCC3CC4)ccc1C2=O,CTSJRKVVECGHGZ-UHFFFAOYSA-N,1,1,1,CHEMBL2167687,CHEMBL2163234,Ki,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,Tharran,,,,,
CHEMBL1417210,CHEMBL1417210,Cc1nn(-c2ccccc2)nc1C(N)=O,IHPOVUXVIZRYAC-UHFFFAOYSA-N,1,1,1,CHEMBL5129738,CHEMBL5126601,Activity,Agonist activity at human adenosine A2A receptor expressed in HEK293T cells assessed as stimulation of cAMP accumulation by GloSensor cAMP accumulation assay,Tharran,,,,,
CHEMBL2377086,CHEMBL2377086,Nc1nc(-c2ccccc2)nc2sccc12,VQUWVROZMNLFDC-UHFFFAOYSA-N,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL2377087,CHEMBL2377087,Nc1nc(-c2ccccc2)nc2sc(-c3ccccc3)cc12,DOOVOCKWYMYRGX-UHFFFAOYSA-N,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL1573515,CHEMBL1573515,O=c1cc(NCc2ccccc2)nc2ccccn12,ZRWBHKXIXMTWJN-UHFFFAOYSA-N,1,1,1,CHEMBL5129738,CHEMBL5126601,Activity,Agonist activity at human adenosine A2A receptor expressed in HEK293T cells assessed as stimulation of cAMP accumulation by GloSensor cAMP accumulation assay,Tharran,,,,,
CHEMBL2377088,CHEMBL2377088,Nc1nc(-c2ccccc2)nc2sc(Cc3ccccc3)cc12,YCJUYKBUDGJHNY-UHFFFAOYSA-N,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL2377089,CHEMBL2377089,Nc1nc(-c2ccccc2)nc2sc(CCc3ccccc3)cc12,CDJGHJCXXQGCRZ-UHFFFAOYSA-N,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL2377095,CHEMBL2377095,C=C(c1ccccc1)c1cc2c(N)nc(-c3cccc(C#N)c3)nc2s1,BHVPOSFNSGUGIO-UHFFFAOYSA-N,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL1950653,CHEMBL1950653,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@@H](Cc5ccccc5)C(=O)OC)cc4)nc32)[C@H](O)[C@@H]1O,BWHLYEQTTHPURZ-QLYQVZKDSA-N,1,1,1,CHEMBL1955229,CHEMBL1949672,Emax,Agonist activity at human A2A adenosine receptor expressed in CHO cells assessed as stimulation of forskolin-induced cAMP production at 10 uM preincubated for 45 mins prior forskolin treatment measured after 15 mins by liquid scintillation spectrometry relative to 2-[p-(2-carboxyethyl)phenylethylamino]-5'-N-ethylcarboxamido-adenosine,Tharran,,,,,
CHEMBL2377096,CHEMBL2377096,N#Cc1cccc(-c2nc(N)c3cc(C4(c5ccccc5)CC4)sc3n2)c1,JWFFZYKQEFJTQY-UHFFFAOYSA-N,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL2377108,CHEMBL2377108,Cc1ccc(-c2nc(N)c3cc(CCc4ccccc4)sc3n2)o1,CZCQGKAJTJOUKQ-UHFFFAOYSA-N,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL1950655,CHEMBL1950655,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@@H](Cc5c[nH]c6ccccc56)C(=O)OC)cc4)nc32)[C@H](O)[C@@H]1O,WPQKCNOVLXDKLF-SNPPRPGFSA-N,1,1,1,CHEMBL1955229,CHEMBL1949672,Emax,Agonist activity at human A2A adenosine receptor expressed in CHO cells assessed as stimulation of forskolin-induced cAMP production at 10 uM preincubated for 45 mins prior forskolin treatment measured after 15 mins by liquid scintillation spectrometry relative to 2-[p-(2-carboxyethyl)phenylethylamino]-5'-N-ethylcarboxamido-adenosine,Tharran,,,,,
CHEMBL2377223,CHEMBL2377223,Nc1nc(-c2ccc(C3CC3)o2)nc2sc(Cc3ccccc3)cc12,NVNOBGYXPMPAEC-UHFFFAOYSA-N,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL2377235,CHEMBL2377235,C=C(c1ccccc1)c1cc2c(N)nc(-c3nc(C)cs3)nc2s1,DFBNAUSKOWYPSJ-UHFFFAOYSA-N,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL1950665,CHEMBL1950665,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@@H](Cc5c[nH]cn5)C(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,XDBPGTOUWLQGCG-RKMGSRDVSA-N,1,1,1,CHEMBL1955229,CHEMBL1949672,Emax,Agonist activity at human A2A adenosine receptor expressed in CHO cells assessed as stimulation of forskolin-induced cAMP production at 10 uM preincubated for 45 mins prior forskolin treatment measured after 15 mins by liquid scintillation spectrometry relative to 2-[p-(2-carboxyethyl)phenylethylamino]-5'-N-ethylcarboxamido-adenosine,Tharran,,,,,
CHEMBL2377236,CHEMBL2377236,Cc1csc(-c2nc(N)c3cc(C4(c5ccccc5)CC4)sc3n2)n1,NEGXZKPQYUOIFO-UHFFFAOYSA-N,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL2377238,CHEMBL2377238,Cc1ccc(-c2nc(N)c3cc(-c4ccccc4)sc3n2)o1,JNBHZYOEHBWUGX-UHFFFAOYSA-N,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL240624,PRELADENANT,COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,DTYWJKSSUANMHD-UHFFFAOYSA-N,1,1,1,CHEMBL903286,CHEMBL1139101,Kb,Antagonist activity at human adenosine A2A receptor assessed as CGS 21680-induced inhibition of adenylate cyclase activity by cell-based assay,Tharran,,,,,
CHEMBL2042301,CHEMBL2042301,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(NC(=O)c5cc(C(C)(C)C)cc(C(C)(C)C)c5)cc4)nc32)[C@H](O)[C@@H]1O,TXMBOCGCZJDFNZ-ACIRYHQQSA-N,1,1,1,CHEMBL2044689,CHEMBL2040819,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as increase in intracellular cAMP level after 30 mins,Tharran,,,,,
CHEMBL259105,CHEMBL259105,Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCc5ccccc5C4)cc3)cc2n(C)c1=O,XICBEZUAIRPALD-UHFFFAOYSA-N,1,1,1,CHEMBL940083,CHEMBL1143979,Activity,Antagonist activity at human adenosine A2A receptor expressed in CHO cells by cAMP assay,Tharran,,,,,
CHEMBL259580,CHEMBL259580,CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCN(c5ccc(F)cc5)CC4)cc3)cc21,SLHFRTFEGMLRBP-UHFFFAOYSA-N,1,1,1,CHEMBL940083,CHEMBL1143979,Activity,Antagonist activity at human adenosine A2A receptor expressed in CHO cells by cAMP assay,Tharran,,,,,
CHEMBL2042303,CHEMBL2042303,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(NC(=O)CCCC[C@H]5CCSS5)cc4)nc32)[C@H](O)[C@@H]1O,SQCZJYTXAWXOND-RKMGSRDVSA-N,1,1,1,CHEMBL2044689,CHEMBL2040819,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as increase in intracellular cAMP level after 30 mins,Tharran,,,,,
CHEMBL270654,CHEMBL270654,Cc1cc(C)n(-c2cc(NC(=O)Cc3ccc(S(C)(=O)=O)cc3)nc(-c3ccccn3)n2)n1,ZKEREZNJKGRMFY-UHFFFAOYSA-N,1,1,1,CHEMBL930535,CHEMBL1142297,IC50,Antagonist activity at human adenosine A2A receptor expressed in HEK293 cells by cAMP assay,Tharran,,,,,
CHEMBL273094,XANTHINE AMINE CONGENER,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,FIQGIOAELHTLHM-UHFFFAOYSA-N,1,1,1,CHEMBL2384073,CHEMBL2380258,Ki,Antagonist activity at human adenosine A2A receptor assessed as cAMP level by cell based assay,Tharran,,,,,
CHEMBL294223,CHEMBL294223,CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCC(c5ccccc5)(c5ccccc5)CC4)cc3)cc21,NHADJLJUOVTRKS-UHFFFAOYSA-N,1,1,1,CHEMBL940083,CHEMBL1143979,Activity,Antagonist activity at human adenosine A2A receptor expressed in CHO cells by cAMP assay,Tharran,,,,,
CHEMBL2042304,CHEMBL2042304,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(F)nc32)[C@H](O)[C@@H]1O,QIMAEJZEQKSMHZ-UGCAPWQASA-N,1,1,1,CHEMBL2044689,CHEMBL2040819,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as increase in intracellular cAMP level after 30 mins,Tharran,,,,,
CHEMBL3217867,CHEMBL3217867,N#Cc1cccc(-c2nc(N)c3cc(CN4CCCC4)sc3n2)c1,XAJHCZJNDNZUFV-UHFFFAOYSA-N,1,1,1,CHEMBL3223903,CHEMBL3217453,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL3222049,CHEMBL3222049,Nc1nc(-c2ccco2)nc2sc(CNC3CC3)cc12,WUIJOMASCIDKAR-UHFFFAOYSA-N,1,1,1,CHEMBL3223903,CHEMBL3217453,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL2042305,CHEMBL2042305,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4ccccc4)nc32)[C@H](O)[C@@H]1O,LPUCXUCWIQBLNE-KCIBBDPESA-N,1,1,1,CHEMBL2044689,CHEMBL2040819,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as increase in intracellular cAMP level after 30 mins,Tharran,,,,,
CHEMBL3222051,CHEMBL3222051,Nc1nc(-c2ccco2)nc2sc(CN3CCCC3)cc12,MPLWCHQDAAXUTI-UHFFFAOYSA-N,1,1,1,CHEMBL3223903,CHEMBL3217453,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL3222054,CHEMBL3222054,Nc1nc(-c2ccco2)nc2sc(CN3CCCCCC3)cc12,SSJXHQWCBBLDCI-UHFFFAOYSA-N,1,1,1,CHEMBL3223903,CHEMBL3217453,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL2042308,CHEMBL2042308,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4ccc(NC(=O)c5cc(C(C)(C)C)cc(C(C)(C)C)c5)cc4)nc32)[C@H](O)[C@@H]1O,AGLLTBWZMRXXOV-FWBSXESASA-N,1,1,1,CHEMBL2044689,CHEMBL2040819,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as increase in intracellular cAMP level after 30 mins,Tharran,,,,,
CHEMBL3222057,CHEMBL3222057,Cc1ccc(-c2nc(N)c3cc(CN4CCc5ccccc5C4)sc3n2)o1,JQPWKEHWBDMVSV-UHFFFAOYSA-N,1,1,1,CHEMBL3223903,CHEMBL3217453,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL3222064,CHEMBL3222064,Nc1nc(-c2ccco2)nc2sc(CN3CCC(=O)CC3)cc12,LHLASRBBJLLXBC-UHFFFAOYSA-N,1,1,1,CHEMBL3223903,CHEMBL3217453,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL3222102,CHEMBL3222102,Nc1nc(-c2cc3ccccc3o2)nc2sc(CN3CCC(F)CC3)cc12,FCGAKHXBRHDRBH-UHFFFAOYSA-N,1,1,1,CHEMBL3223903,CHEMBL3217453,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
CHEMBL2042310,CHEMBL2042310,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4ccc(NC(=O)CCCC[C@H]5CCSS5)cc4)nc32)[C@H](O)[C@@H]1O,KGGRLFLXKXSBIC-MPBXGEDSSA-N,1,1,1,CHEMBL2044689,CHEMBL2040819,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as increase in intracellular cAMP level after 30 mins,Tharran,,,,,
CHEMBL372148,CHEMBL372148,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(-c5ccccc5)cc4)cc3)cc2n(C)c1=O,FTVRDQDWDBZPQP-UHFFFAOYSA-N,1,1,1,CHEMBL853546,CHEMBL1148617,Kd,Antagonist potency at cloned recombinant human adenosine A2A receptor transfected in CHO cells by cAMP assay,Tharran,,,,,
CHEMBL398272,CHEMBL398272,CN1CCN(CC(=O)Nc2cc(-c3nccs3)nc(-c3ccco3)n2)CC1,NPNLXWRCDBORLG-UHFFFAOYSA-N,1,1,1,CHEMBL949245,CHEMBL1142326,IC50,Antagonist activity at human adenosine A2A receptor by cAMP assay,Tharran,,,,,
CHEMBL216392,CHEMBL216392,CNc1nc(-c2cn(Cc3cccc(Cl)c3)nn2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,DJQKAKFNNBFTLQ-KHTYJDQRSA-N,1,1,1,CHEMBL909310,CHEMBL1137298,Activity,Activity at human adenosine A2A receptor in CHO cells assessed as stimulation of cAMP production relative to NECA at 10 uM,Tharran,,,,,
CHEMBL4064207,CHEMBL4064207,COc1ccc(N2CCOCC2)c2sc(NC(=O)C3(C)CCC(C)(O)CC3)nc12,UJRKOSVHCNMAII-UHFFFAOYSA-N,1,1,1,CHEMBL5126865,CHEMBL5126505,Ki,Antagonist activity at recombinant human adenosine A2A receptor expressed in HEK293 cells measured by cAMP functional assay,Tharran,,,,,
CHEMBL4065326,CHEMBL4065326,COc1ccc(N2CCOCC2)c2sc(NC(=O)C(C)(C)Oc3ccc(F)c(F)c3)nc12,YFKXIEKMGLBNSH-UHFFFAOYSA-N,1,1,1,CHEMBL5126865,CHEMBL5126505,Ki,Antagonist activity at recombinant human adenosine A2A receptor expressed in HEK293 cells measured by cAMP functional assay,Tharran,,,,,
CHEMBL218326,CHEMBL218326,CNc1nc(-n2cc(-c3ccccn3)nn2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,BFNBQDWOBYWSKD-LSCFUAHRSA-N,1,1,1,CHEMBL909310,CHEMBL1137298,Activity,Activity at human adenosine A2A receptor in CHO cells assessed as stimulation of cAMP production relative to NECA at 10 uM,Tharran,,,,,
CHEMBL4128848,CHEMBL4128848,O=C(Nc1nc2cccc(Cl)c2[nH]1)c1ccccc1,UYANATZTFXSNEV-UHFFFAOYSA-N,1,1,1,CHEMBL4123895,CHEMBL4118207,Inhibition,Antagonist activity at human A2A receptor expressed in CHO cells assessed as inhibition of NECA-stimulated cAMP accumulation at 1 uM preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,Tharran,,,,,
CHEMBL4203542,CHEMBL4203542,Cc1nc2cc(N3CCN(CCn4c(=O)n(C)c5c4nc(N)n4nc(-c6ccco6)nc54)CC3)c(F)cc2o1,HZAQUZWWTITTFO-UHFFFAOYSA-N,1,1,1,CHEMBL4193732,CHEMBL4190330,Ki,Antagonist activity at human A2A receptor expressed in HEK293 cell membranes assessed as reduction in CGS-21680-induced cAMP level pretreated for 15 mins followed by CGS-21680 addition measured after 30 mins by HTRF assay,Tharran,,,,,
CHEMBL4204531,CHEMBL4204531,COCC(C)(C)Oc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,WTSGLQVSVKYTNF-UHFFFAOYSA-N,1,1,1,CHEMBL4193732,CHEMBL4190330,Ki,Antagonist activity at human A2A receptor expressed in HEK293 cell membranes assessed as reduction in CGS-21680-induced cAMP level pretreated for 15 mins followed by CGS-21680 addition measured after 30 mins by HTRF assay,Tharran,,,,,
CHEMBL219055,CHEMBL219055,CCc1cn(-c2nc(NC)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)nn1,JBQPJIFYNWOTMD-IDTAVKCVSA-N,1,1,1,CHEMBL909310,CHEMBL1137298,Activity,Activity at human adenosine A2A receptor in CHO cells assessed as stimulation of cAMP production relative to NECA at 10 uM,Tharran,,,,,
CHEMBL4205884,CHEMBL4205884,Cn1c(=O)n(CCN2CCN(c3ccc(OC4CC4)cc3)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21,DSELQYYUAIUYPA-UHFFFAOYSA-N,1,1,1,CHEMBL4193732,CHEMBL4190330,Ki,Antagonist activity at human A2A receptor expressed in HEK293 cell membranes assessed as reduction in CGS-21680-induced cAMP level pretreated for 15 mins followed by CGS-21680 addition measured after 30 mins by HTRF assay,Tharran,,,,,
CHEMBL4207839,CHEMBL4207839,Cn1c(=O)n(CCN2CCN(c3ccc(OCCOC4CC4)cc3)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21,ZDTKVDOJSNWXML-UHFFFAOYSA-N,1,1,1,CHEMBL4193732,CHEMBL4190330,Ki,Antagonist activity at human A2A receptor expressed in HEK293 cell membranes assessed as reduction in CGS-21680-induced cAMP level pretreated for 15 mins followed by CGS-21680 addition measured after 30 mins by HTRF assay,Tharran,,,,,
CHEMBL219256,CHEMBL219256,CNc1nc(-n2cc(CC3CCCC3)nn2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,UVCPEXPHSCKQFM-SCFUHWHPSA-N,1,1,1,CHEMBL909310,CHEMBL1137298,Activity,Activity at human adenosine A2A receptor in CHO cells assessed as stimulation of cAMP production relative to NECA at 10 uM,Tharran,,,,,
CHEMBL4207914,CHEMBL4207914,Cn1c(=O)n(CCN2CCN(c3ccc(OC4CCOCC4)cc3)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21,VJHSRYVQSIZZOS-UHFFFAOYSA-N,1,1,1,CHEMBL4193732,CHEMBL4190330,Ki,Antagonist activity at human A2A receptor expressed in HEK293 cell membranes assessed as reduction in CGS-21680-induced cAMP level pretreated for 15 mins followed by CGS-21680 addition measured after 30 mins by HTRF assay,Tharran,,,,,
CHEMBL4212810,CHEMBL4212810,Cn1c(=O)n(CCN2CCN(c3nc(C(F)(F)F)cs3)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21,YOXUINAHBUOBMU-UHFFFAOYSA-N,1,1,1,CHEMBL4193732,CHEMBL4190330,Ki,Antagonist activity at human A2A receptor expressed in HEK293 cell membranes assessed as reduction in CGS-21680-induced cAMP level pretreated for 15 mins followed by CGS-21680 addition measured after 30 mins by HTRF assay,Tharran,,,,,
