review_record_id,candidate_id,standardized_inchikey,generic_murcko_scaffold_smiles,scaffold_member_count,scaffold_composition,evidence_quality,pass_1_status,source_prediction_status,model_id,prediction_pbind_ki,interval_lower_90,interval_upper_90,threshold_pbind_ki,threshold_provenance_status,interval_eligibility,applicability_status,nearest_neighbor_similarity,descriptor_distance,deterministic_review_eligibility,eligibility_reasons,human_disposition_status,human_decision,human_reviewer,human_notes
URQ-b2355ab6b2588b5b,BDB-50187588,DJMAOAZZXABOFN-UHFFFAOYSA-N,CC1CC(C)C2C(C1)CC1C(C3CCC(CCCC4CCCCC4)CC3)CCCC12,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-7bc953d5e631547c,BDB-50189175,GMRJTVNCPZHTOX-UHFFFAOYSA-N,CC(CCC1CCCCC1)C(CC1CCCCC1)C1CC2CCCCC2C1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-c1625c5656c6c0ae,BDB-50189817,CVTMECIYXVPNLC-UHFFFAOYSA-N,CC(CC1CC2CCCCC2C2C(C)C(C3CCCCC3)CC12)C(C1CCCCC1)C1CCCCC1,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-d92d66ecc02190da,BDB-50194816,SVNVSTDRFRAKND-UHFFFAOYSA-N,C1CCC(CCC2CCCC(C3CCCCC3)C2)CC1,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-4a6e0dbe05bfa350,BDB-50196544,JTJKCSSYQFNNON-WVSUBDOOSA-N,C1CCC2CC(CC3CC(C4CCCC4)CC4C(C5CCCC5)CCC34)CCC2C1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-11fa1f4825513e38,BDB-50196551,FFXMREHKIUCCAM-WVSUBDOOSA-N,C1CCC(CC2CC(C3CCCC3)CC3C(C4CCCC4)CCC23)CC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-575f302cc6713e95,BDB-50199460,YLEQGEOHZFVIAR-QZUDQQPUSA-N,C1CC(C(CC2CCCC3C2CCC3C2CCC3CC32)C2CC2)C1,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-45ab62589e88c7b7,BDB-50199463,PWANAKRSKQRVSS-QKZATRHHSA-N,C1CC(CC(C2CC2)C2CC2)C2CCC(C3CCC4CC43)C2C1,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-367a9d1aaedde618,BDB-50202575,MXNGBNYQJCQGEV-PFHKOEEOSA-N,CC(CCC1CCCC2C(C3CCCC3)CCC12)CC1CCCC1,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-e1201a6ec9832516,BDB-50202985,NCRDZJIYEHKXFL-UHFFFAOYSA-N,C1CCC(C2CCC(CCC3CCC4C3CCC3CC(C5CCCC5)CC34)CC2)CC1,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-52e534f0708ffbf3,BDB-50208784,LCDBQJZQQFLFGG-QTQZEZTPSA-N,C(CC1CCC2CCCCC2C1)CC1CCC2CCC(C3CCCC3)C2C1,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-1ae805f8292bf9e1,BDB-50208811,ZJDAEJJMDHYEGB-HUBRGWSESA-N,CC(C)(C1CCCCC1)C1C(CCCC2CCC3CCC(C4CCCC4)C3C2)CC2CCCCC21,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-ed7dd0253bce3f3e,BDB-50211077,KLLJKZAKUJQFQR-UHFFFAOYSA-N,C1CCC(CCCC2CCC3CC(C4CCCC4)CC3C2)CC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-55bf6f657029c785,BDB-50232048,NRRYCEINQLPTLE-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CC4CCC(C5CCCCC5)C4C)C3)CC2C1,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-722f7ab856cffdc5,BDB-50232049,FTYUKYLDBALLID-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CC(C)C4CCC(C5CCCCC5)CC4)C3)CC2C1,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-c7101502001ee5b4,BDB-50237076,XHZNAIPWEJMXIP-UHFFFAOYSA-N,CC(CCC1CCCCC1)CC1CC(C2CCCC2)CC(C2CCCC2)C1,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-b45f476d26098368,BDB-50237093,FLJKEYOWOUCFNJ-UHFFFAOYSA-N,CC(CCC1CCCC(CCC2CCCCC2)C1)CC1CC(C2CCCC2)CC(C2CCCC2)C1,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-8f3d884be96209e3,BDB-50247456,JTOBORUICCTILQ-WBMMKZCBSA-N,C1CCC(C2CC(CC3CCCC3)C3CCC(C4CCC(CC5CCCC5)C4)C3C2)CC1,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-a882ab440b81941c,BDB-50247934,LYNYVXYEWWSYMQ-UHFFFAOYSA-N,CC1C(CC2CCCCC2)C2CCC(CCCC3CCCC3)CC2C1C1CCCCC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-f8a1bd3682becc4a,BDB-50248436,AJRRIEGYRSNLNQ-UHFFFAOYSA-N,CC1CC2CCC(CC3CC3)CC2C1C1CCCCC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-cc24fb1d8007c9ae,BDB-50248576,CPCBVGFLWLFBQV-UHFFFAOYSA-N,CC1C(CC2CCCCC2)C2CCC(CCC3CCCCC3)CC2C1C1CCCCC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-21ff98da0ae8cd00,BDB-50248578,UPPCVKRCEALPST-UHFFFAOYSA-N,CC1C(CC2CCCCC2)C2CCC(CCCC3CCCCC3)CC2C1C1CCCCC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-c02893dffd734f98,BDB-50256363,DKTSTJQGCYJNIY-UHFFFAOYSA-N,C1CCC(C2CCC(CCC(CC3CC3)C3CCC4CC(C5CCCC5)CC4C3)CC2)CC1,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-c59991df4ab8dbc8,BDB-50256952,IVKXIMVGTFMPDF-UHFFFAOYSA-N,C1CCC(C2CCC3CCCCC32)CC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-43937ee84ca4a9e3,BDB-50257000,JGFAEEKLMAWINF-UHFFFAOYSA-N,C1CCC2C(C1)CCC2C1CCC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-fbe0f7c58313961d,BDB-50257025,JIBITRQNBXVGNX-UHFFFAOYSA-N,CC1C(C2CCCCC2)CC2C(CC3CCCCC3)CC3CCCCC3C12,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
